Asociación,Actividad Subvencionada ,Importe,Justificación requerida,Justificación recibida
AMPA ANTONIO MACHADO,TALLER FIESTA DE CARNAVAL,94.56,No,No
AMPA ANTONIO MACHADO,TALLER DIA DEL PADRE,39.04,No,No
AMPA ANTONIO MACHADO,TALLER DIA DE LA MADRE,43.64,No,No
AMPA ANTONIO MACHADO,FIESTA FIN DE CURSO,921,Sí,No
AMPA ANTONIO MACHADO,CONCURSO LOGOTIPO AMPA,56.57,No,No
AMPA ANTONIO MACHADO,ASOCIACION FAPA ALCOBENDAS,80,No,No
AMPA ANTONIO MACHADO,ASOCIACION FAPA GINER DE LOS RIOS,86.79,No,No
AMPA ANTONIO MACHADO,FIESTA DE NAVIDAD,660,Sí,No
AMPA ANTONIO MACHADO,HALLOWEEN,168.39,No,No
AMPA ANTONIO MACHADO,SAN ISIDRO,195,No,No
AMPA BACHILLER ALONSO LOPEZ,MATEMATICAS MANIPULATIVAS,480,Sí,No
AMPA BACHILLER ALONSO LOPEZ,PROYECTO DE INGLES,480,Sí,No
AMPA BACHILLER ALONSO LOPEZ,EXCURSIONES PRIMARIA,928,Sí,No
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN INFANTIL,360,Sí,No
AMPA BACHILLER ALONSO LOPEZ,GRADUACIÓN 6 PRIM,240,No,No
AMPA BACHILLER ALONSO LOPEZ,REVISTA COLEGIO ENTRETIZAS,220,No,No
AMPA BACHILLER ALONSO LOPEZ,FIESTA INTERCULTURAL,492,Sí,No
AMPA CASTILLA,CONCURSO TARJETAS NAVIDEÑAS,124,No,No
AMPA CASTILLA,TALLER COMO MEJORAR LA AUTOESTIMA DE NUESTROS HIJOS,160,No,No
AMPA CASTILLA,FIESTA FIN DE CURSO,840,Sí,No
AMPA CASTILLA,"PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",150,No,No
AMPA CASTILLA,FEDERACION,64,No,No
AMPA CASTILLA,FIESTA REYES MAGOS,460,Sí,No
AMPA CASTILLA,CHOCOLATADA,336,Sí,No
AMPA CASTILLA,SAN ISIDRO,163,No,No
AMPA CASTILLA,HALLOWEEN,160,No,No
AMPA CASTILLA,CARNAVAL EN LA AULAS,147.44,No,No
AMPA DAOIZ Y VELARDE,PLAN LECTOR,370,Sí,No
AMPA DAOIZ Y VELARDE,CONCIERTO MUSICA DIVERTIDA,575.74,Sí,No
AMPA DAOIZ Y VELARDE,TALLER HABILIDADES SOCIALES O TECNICAS DE ESTUDIO,220,No,No
AMPA DAOIZ Y VELARDE,FIESTA FIN DE CURSO,600,Sí,No
AMPA DAOIZ Y VELARDE,GRADUACIONES INFANTIL Y SEXTO,160,No,No
AMPA DAOIZ Y VELARDE,AGENDAS,340,Sí,No
AMPA DAOIZ Y VELARDE,EXPOSICION FOTOGRAFICA,198,No,No
AMPA DAOIZ Y VELARDE,NAVIDAD,689,Sí,No
AMPA EMILIO CASADO,DIA DE LA MUSICA,295.67,No,No
AMPA EMILIO CASADO,SALIDA CULTURAL AL TEATRO,196,No,No
AMPA EMILIO CASADO,FESTIVAL FIN DE CURSO,247,No,No
AMPA EMILIO CASADO,FIESTA FIN DE CURSO,1000,Sí,No
AMPA EMILIO CASADO,ASOCIACION FAPA GINER DE LOS RIOS,175,No,No
AMPA EMILIO CASADO,ASOCIACION FAPA ALCOBENDAS,77,No,No
AMPA EMILIO CASADO,FIESTA NAVIDAD,850,Sí,No
AMPA EMILIO CASADO,INTERCENTROS ATLETISMO,175,No,No
AMPA FEDERICO GARCIA LORCA,DIA DEL LIBRO,1400,Sí,No
AMPA FEDERICO GARCIA LORCA,TALLERES DE HALLOWEEN Y ADORNOS NAVIDAD,85,No,No
AMPA FEDERICO GARCIA LORCA,FIESTA FIN DE CURSO,434.06,Sí,No
AMPA GABRIEL Y GALAN,EXCURSIONES,1151.51,Sí,No
AMPA GABRIEL Y GALAN,HUERTO ESCOLAR,80,No,No
AMPA GABRIEL Y GALAN,CUENTACUENTOS,200,No,No
AMPA GABRIEL Y GALAN,TALLER NAVIDEÑO,120,No,No
AMPA GABRIEL Y GALAN,FIESTA FIN DE CURSO,480,Sí,No
AMPA GABRIEL Y GALAN,PERIODICO,160,No,No
AMPA GABRIEL Y GALAN,CARNAVAL,350,Sí,No
AMPA GABRIEL Y GALAN,SAN ISIDRO,200,No,No
AMPA LUIS BUÑUEL,CONCURSO FELICITACIONES DE NAVIDAD,90,No,No
AMPA LUIS BUÑUEL,MERCADILLO NAVIDEÑO,90,No,No
AMPA LUIS BUÑUEL,GRADUACION,440,Sí,No
AMPA LUIS BUÑUEL,FIESTA FIN DE CURSO,55,No,No
AMPA LUIS BUÑUEL,PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS,227,No,No
AMPA LUIS BUÑUEL,FIESTA NAVIDAD,625,Sí,No
AMPA LUIS BUÑUEL,SAN ISIDRO,200,No,No
AMPA LUIS BUÑUEL,FIESTA DE HALLOWEEN,80,No,No
AMPA LUIS BUÑUEL,CASTAÑADA,65,No,No
AMPA LUIS BUÑUEL,CARNAVAL EN LAS AULAS: MERCADILLO MEDIEVAL,209,No,No
AMPA MIGUEL HERNANDEZ,CERTAMEN LITERARIO Y DE DIBUJO,300,No,No
AMPA MIGUEL HERNANDEZ,SEMANA CULTURAL,153,No,No
AMPA MIGUEL HERNANDEZ,EXCURSION A MADRID,504,Sí,No
AMPA MIGUEL HERNANDEZ,EXCURSION A SIERRA DE GUADARRAMA,293,No,No
AMPA MIGUEL HERNANDEZ,CONCURSO DE TARJETAS NAVIDEÑAS,150,No,No
AMPA MIGUEL HERNANDEZ,PARTICIPACION FESTIVAL FAPA,12,No,No
AMPA MIGUEL HERNANDEZ,FESTIVAL FIN CURSO,287,No,No
AMPA MIGUEL HERNANDEZ,ENTREGA DE ORLAS 3º INFANTIL,100,No,No
AMPA MIGUEL HERNANDEZ,PARTICIPACION EN FEDERACIONES,80,No,No
AMPA MIGUEL HERNANDEZ,VISITA REYES MAGOS,530,Sí,No
AMPA MIGUEL HERNANDEZ,FIESTA NAVIDAD,475,Sí,No
AMPA MIGUEL HERNANDEZ,TORNEOS DEPORTIVOS,39.35,No,No
AMPA MIRAFLORES,SALIDA CULTURAL SAFARI,1500,Sí,No
AMPA MIRAFLORES,FIESTA FIN DE CURSO,560,Sí,No
AMPA MIRAFLORES,CUENTOS EN MIRAFLORES,400,Sí,No
AMPA MIRAFLORES,FIESTA DE NAVIDAD,327.21,Sí,No
AMPA PARQUE CATALUÑA,CONCURSO DE TARJETAS NAVIDEÑAS,290,No,No
AMPA PARQUE CATALUÑA,FUTBOL,95,No,No
AMPA PARQUE CATALUÑA,MULTIDEPORTE,400,Sí,No
AMPA PARQUE CATALUÑA,GRADUACIÓN,130,No,No
AMPA PARQUE CATALUÑA,FIESTA FIN DE CURSO,995,Sí,No
